beta,mean_influence,std_influence
0.2,-0.05050304773564858,0.004518080883223147
0.5428571428571429,0.009739383729234764,0.00474444320255323
0.8857142857142857,0.04349314096467152,0.005394239231227039
1.2285714285714284,0.06462246324017895,0.004398349012275815
1.5714285714285714,0.07667937824583497,0.005291991533793904
1.9142857142857144,0.08332002505563323,0.004594541358765452
2.257142857142857,0.08617340593401028,0.005309370272668564
2.6,0.0840963968993167,0.00484931488612547
2.942857142857143,0.07971806033364408,0.004661856818172844
3.285714285714286,0.06984856018143364,0.004819239409008268
3.628571428571429,0.05855652843766955,0.004727369893856716
3.9714285714285715,0.04341636807596001,0.005516296159341187
4.314285714285714,0.025440683983591984,0.00497877449604355
4.6571428571428575,0.0046749443900219985,0.004849435824364196
5.0,-0.01680684124970439,0.004994940324109843
